conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;No violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court),36,,19732/17,,ENG,7,001-208278,3,16/02/2021 00:00:00,CASE OF STICHTING LANDGOED STEENBERGEN AND OTHERS v. THE NETHERLANDS,ECLI:CE:ECHR:2021:0216JUD001973217,"Athanassoglou and Others v. Switzerland [GC], no. 27644/95, §§ 43 and 46-55, 6 April 2000;Barbara Wiśniewska v. Poland, no. 9072/02, § 76, 29 November 2011;Ben Salah Adraqui and Dhaime v. Spain (dec.), no. 45023/98, 27 April 2000;Berger-Krall and Others v. Slovenia, no. 14717/04, § 327, 12 June 2014;British-American Tobacco Company Ltd v. the Netherlands, 20 November 1995, § 89, Series A no. 331;Geffre v. France (dec.), no. 51307/99, ECHR 2003 I (extracts);Karin Andersson and Others v. Sweden, no. 29878/09, § 46, 25 September 2014;Kononov v. Latvia [GC], no. 36376/04, § 189, ECHR 2010;Lay Lay Company Limited v. Malta, no. 30633/11, § 56, 23 July 2013;Naït-Liman v. Switzerland [GC], no. 51357/07, §§ 112-16, 15 March 2018;Šild v. Slovenia (dec.), no. 59284/08, § 30, 17 September 2013;Sisojeva and Others v. Latvia (striking out) [GC], no. 60654/00, § 89, ECHR 2007 I;Vučković and Others v. Serbia [GC] (preliminary objection), nos. 17153/11 and 29 others, §§ 69-77, 25 March 2014;Zavodnik v. Slovenia, no. 53723/13, 21 May 2015;Zubac v. Croatia [GC], no. 40160/12, § 98, 5 April 2018",6;6-1,HEJUD,WERTHEIM R.S. ,FALSE,NLD,,"<div class=""ExternalClass266E047A75654F468C7F766B7E4D5E0A"">Sections 1 &#58;2(1) and 2 &#58;14 of the General Administrative Law Act ; Section 2(1) of the Electronic Notification Ordinance </div>",,,CHAMBER,6;6-1;19;35;35-1,4.799493,19732/17;29878/09;27644/95;51357/07;59284/08;40160/12;53723/13;51307/99;30633/11;60654/00;36376/04;17153/11;9072/02;45023/98;14717/04
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;No violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),2,"Chapter VII of the United Nations Charter;Rule 158 of the Customary International Humanitarian Law;UN Basic Principles and Guidelines, adopted by General Assembly Resolution 60/147 of 16 December 2005 (A/RES/60/147);Human Rights Committee’s General Comment No. 36 on the right to life under Article 6 of the International Covenant on Civil and Political Rights, adopted on 30 October 2018;Revised version of the Minnesota Protocol on the Investigation of Potentially Unlawful Death (“Minnesota Protocol”) published by the Office of the UN High Commissionessr for Human Rights in 2017;Section I, subsection 3, of the International Security Assistance Force (ISAF) Status of Forces Agreement;Rome Statute of the International Criminal Court (“the Rome Statute”) entered into force on 1 July 2002
",4871/16,,ENG,8,001-208279,1,16/02/2021 00:00:00,CASE OF HANAN v. GERMANY,ECLI:CE:ECHR:2021:0216JUD000487116,"Aktaş v. Turkey, no. 24351/94, § 306, ECHR 2003 V (extracts);Al-Jedda v. the United Kingdom [GC], no. 27021/08, ECHR 2011;Al-Skeini and Others v. the United Kingdom [GC], no. 55721/07, ECHR 2011;Armani Da Silva v. the United Kingdom [GC], no. 5878/08, 30 March 2016;Banković and Others v. Belgium and Others (dec.) [GC], no. 52207/99, § 75, ECHR 2001 XII;Bazorkina v. Russia, no. 69481/01, § 121, 27 July 2006;Behrami and Behrami v. France and Saramati v. France, Germany and Norway (dec.) [GC], nos. 71412/01 and 78166/01, 2 May 2007;Chagos Islanders v. the United Kingdom (dec.), no. 35622/04, 11 December 2012;Damayev v. Russia, no. 36150/04, 29 May 2012;Georgia v. Russia (II) [GC], no. 38263/08, §§ 329-332, 21 January 2021;Giuliani and Gaggio v. Italy [GC], no. 23458/02, ECHR 2011 (extracts);Güzelyurtlu and Others v. Cyprus and Turkey [GC], no. 36925/07, 29 January 2019;Hassan v. the United Kingdom [GC], no. 29750/09, ECHR 2014;Hentschel and Stark v. Germany, no. 47274/15, 9 November 2017;Jaloud v. the Netherlands [GC], no. 47708/08, ECHR 2014;Kolevi v. Bulgaria, no. 1108/02, § 201, 5 November 2009;Markovic and Others v. Italy [GC], no. 1398/03, ECHR 2006 XIV;McKerr v. the United Kingdom, no. 28883/95, § 129, ECHR 2001-III;Medvedyev and Others v. France [GC], no. 3394/03, § 64, ECHR 2010;Mustafa Tunç and Fecire Tunç v. Turkey [GC], no. 24014/05, 14 April 2015;Nachova and Others v. Bulgaria [GC], nos. 43577/98 and 43579/98, § 160, ECHR 2005‑VII;Radomilja and Others v. Croatia [GC], nos. 37685/10 and 22768/12, § 117, ECHR 2018;Ramsahai and Others v. the Netherlands [GC], no. 52391/99, ECHR 2007 II;Rantsev v. Cyprus and Russia, no. 25965/04, ECHR 2010 (extracts);Romeo Castaño v. Belgium, no. 8351/17, 9 July 2019;Tanrıkulu v. Turkey [GC], no. 23763/94, §§ 101-110, ECHR 1999-IV;Velcea and Mazăre v. Romania, no. 64301/01, 1 December 2009;Velikova v. Bulgaria, no. 41488/98, § 80, ECHR 2000‑VI",2;2-1,HEJUD,KALECK W.,TRUE,DEU,,"Code of Crimes against International Law ; Code of Criminal Procedure
",,,GRANDCHAMBER,1;2;2-1;35;35-3-a,4.799493,4871/16;627/14;987/11;477/17;41/93;524/10;209/09;135/11;967/07;2040/15;2318/07;878/05;912/15;2307/06;2699/10;71412/01;78166/01;47708/08;27021/08;55721/07;52207/99;3394/03;36925/07;8351/17;1398/03;35622/04;35587/08;49278/09;31821/96;29750/09;71463/01;55508/07;29520/09;25965/04;38263/08;47274/15;37685/10;22768/12;24014/05;5878/08;23458/02;26562/07;49037/15;52391/99;43577/98;43579/98;1108/02;64301/01;23763/94;41488/98;69481/01;24351/94;28883/95;36150/04;20958/14;38334/18;27765/09
No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression),,Resolution 1729 (2010) of the Parliamentary Asssembly of the Council of Europe on the protection of “whistle-blowers”;Recommendation CM/Rec(2014)7 of the Committee of Ministers of the Council of Europe to member States on the protecton of whistle-blowers,23922/19,,ENG,5,001-208280,3,16/02/2021 00:00:00,CASE OF GAWLIK v. LIECHTENSTEIN,ECLI:CE:ECHR:2021:0216JUD002392219,"Bladet Tromsø and Stensaas v. Norway [GC], no. 21980/93, § 65, ECHR 1999 III;Bucur and Toma v. Romania, no. 40238/02, 8 January 2013;Fuentes Bobo v. Spain, no. 39293/98, 29 February 2000;Guja v. Moldova [GC], no. 14277/04, ECHR 2008;Handyside v. the United Kingdom, 7 December 1976, § 49, Series A no. 24;Heinisch v. Germany, no. 28274/08, ECHR 2011 (extracts);Kudeshkina v. Russia, no. 29492/05, § 95, 26 February 2009;Langner v. Germany, no. 14464/11, 17 September 2015;Marchenko v. Ukraine, no. 4063/04, §§ 45-46, 19 February 2009;Matúz v. Hungary, no. 73571/10, 21 October 2014;Medžlis Islamske Zajednice Brčko and Others v. Bosnia and Herzegovina [GC], no. 17224/11, 27 June 2017;Steel and Morris v. the United Kingdom, no. 68416/01, ECHR 2005 II;Stoll v. Switzerland [GC], no.  69698/01, § 106, ECHR 2007 V;Sürek v. Turkey (no. 1) [GC], no. 26682/95, § 61, ECHR 1999 IV",10;10-1,HEJUD,HOPMANN B.,FALSE,LIE,,Article 1173a § 53 of the Civil Code,,,CHAMBER,10;10-1;10-2,4.799493,23922/19;2018/74;28274/08;73571/10;14464/11;39293/98;68416/01;14277/04;4063/04;40238/02;26682/95;69698/01;21980/93;29492/05;17224/11
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal),,,1128/17,6;6-1,ENG,6,001-208281,3,16/02/2021 00:00:00,CASE OF MENG v. GERMANY,ECLI:CE:ECHR:2021:0216JUD000112817,"Alexandru Marian Iancu v. Romania, no. 60858/15, 4 February 2020;Bezek v. Germany (dec.), nos. 4211/12 and 5850/12, 21 April 2015;De Cubber v. Belgium, 26 October 1984, § 33, Series A no. 86;Denisov v. Ukraine [GC], no. 76639/11, § 61, 25 September 2018;Dragojević v. Croatia, no. 68955/11, 15 January 2015;Ferrantelli and Santangelo v. Italy, 7 August 1996, Reports of Judgments and Decisions 1996 III;George-Laviniu Ghiurău v. Romania, no. 15549/16, §§ 65-66 and 68, 16 June 2020;Hauschildt v. Denmark, 24 May 1989, § 50, Series A no. 154;Khodorkovskiy and Lebedev v. Russia, nos. 11082/06 and 13772/05, 25 July 2013;Kriegisch v. Germany (dec.), no. 21698/06, 23 November 2010;Kyprianou v. Cyprus [GC], no. 73797/01, ECHR 2005 XIII;Miminoshvili v. Russia, no. 20197/03, 28 June 2011;Morel v. France, no. 34130/96, ECHR 2000 VI;Padovani v. Italy, 26 February 1993, § 27, Series A no. 257 B;Paixão  Moreira Sá Fernandes v. Portugal, no. 78108/14, § 87, 25 February 2020;Poppe v. the Netherlands, no. 32271/04, 24 March 2009;Rojas Morales v. Italy, no. 39676/98, §§ 33-34, 16 November 2000;Rudnichenko v. Ukraine, no. 2775/07, 11 July 2013;Schwarzenberger v. Germany, no. 75737/01, 10 August 2006;Thomann v. Switzerland, 10 June 1996, §§ 32-37, Reports 1996 III;Wettstein v. Switzerland, no. 33958/96, § 44, ECHR 2000 XII",,HEJUD,EULER H.-W. ,FALSE,DEU,,,,,CHAMBER,6;6-1,4.799493,1128/17;1168/16;233/96;485/05;455/09;169/15;653/85;73797/01;76639/11;60858/15;75737/01;32271/04;34130/96;20197/03;21698/06;33958/96;68955/11;11082/06;13772/05;4211/12;5850/12;39676/98;2775/07;78108/14;15549/16
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court),,,49652/10,6;6-1,ENG,6,001-208284,4,16/02/2021 00:00:00,CASE OF VERMEERSCH v. BELGIUM,ECLI:CE:ECHR:2021:0216JUD004965210,,,HEJUD,DENYS M.,FALSE,BEL,,,,,CHAMBER,6;6-1,4.799493,
No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect),,,38949/09,3,ENG,5,001-208286,4,16/02/2021 00:00:00,CASE OF İLTÜMÜR OZAN AND OTHERS v. TURKEY,ECLI:CE:ECHR:2021:0216JUD003894909,,3,HEJUD,UÇAR S.,FALSE,TUR,,,,,CHAMBER,3,4.799493,
Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time);Violation of Article 13+6-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 6 - Right to a fair trial;Criminal proceedings;Article 6-1 - Reasonable time),,,59181/18,6;6-1;13;13+6-1,ENG,7,001-208311,4,02/03/2021 00:00:00,CASE OF DELIĆ v. BOSNIA AND HERZEGOVINA,ECLI:CE:ECHR:2021:0302JUD005918118,,,HEJUD,SALKANOVIĆ H.,FALSE,BIH,,,,,CHAMBER,6;6-1;13;13+6-1,4.799493,59181/18;3979/18;5000/18;30979/96;30210/96;57220/00;9849/15;31107/96;27966/06
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time);Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,2371/11,6;6-1;P1-1;P1-1-1,ENG,29,001-208312,4,04/03/2021 00:00:00,CASE OF BORISOV v. UKRAINE,ECLI:CE:ECHR:2021:0304JUD000237111,,,HEJUD,YENAKIYEVA O.V.,FALSE,UKR,,,,,COMMITTEE,6;6-1;P1-1;P1-1-1,4.799493,2371/11;201/17;70520/10;36480/07;46577/15;47166/09;4251/02;33202/96;10373/05;29979/04;34044/02;14902/04;65681/13;30979/96;23786/02;16483/12
Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention;Article 5-1-b - Secure fulfilment of obligation prescribed by law),,,67800/12,5;5-1;5-1-b,ENG,29,001-208313,4,04/03/2021 00:00:00,CASE OF BEREZA v. UKRAINE,ECLI:CE:ECHR:2021:0304JUD006780012,,,HEJUD,SHTABOVENKO D.V.,FALSE,UKR,,,,,COMMITTEE,5;5-1;5-1-b,4.799493,67800/12;26629/95;29986/96;17835/07;65755/01;24329/02;29226/03;38898/04
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,62490/09,P1-1;P1-1-1,ENG,29,001-208314,4,18/02/2021 00:00:00,CASE OF GANIYEVA AND OTHERS v. AZERBAIJAN,ECLI:CE:ECHR:2021:0218JUD006249009,,,HEJUD,ALIYEVA S. ,FALSE,AZE,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,62490/09;34578/97;18967/02;73359/10;47848/08;45044/06;73281/01;36229/11;35432/07;31107/96;18768/05;5046/07;76254/11;2334/03;71243/01;53080/13;33202/96;5876/15;45875/06;53068/08;35941/03;42883/11;28342/95;58858/00
Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention;Article 5-1-c - Bringing before competent legal authority),,,48475/12,5;5-1;5-1-c,ENG,29,001-208315,4,18/02/2021 00:00:00,CASE OF FAYZOV v. AZERBAIJAN,ECLI:CE:ECHR:2021:0218JUD004847512,,,HEJUD,ISMAYILOV A.,FALSE,AZE,,,,,COMMITTEE,5;5-1;5-1-c,4.799493,48475/12;37138/06;16966/06;49192/08;19842/15
Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),,,29361/18;30200/18;31072/18,2;2-1,ENG,29,001-208316,4,18/02/2021 00:00:00,CASE OF BRENKO AND OTHERS v. UKRAINE,ECLI:CE:ECHR:2021:0218JUD002936118,,,HEJUD,,FALSE,UKR,,,,,COMMITTEE,2;2-1,4.799493,29361/18;30200/18;31072/18;22737/04;24014/05;46477/99;38765/05;39797/05;42752/08;40525/05;51151/10
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction),,,12074/12;16442/12,6;6-1,ENG,6,001-208319,3,16/02/2021 00:00:00,CASE OF TIKHONOV AND KHASIS v. RUSSIA,ECLI:CE:ECHR:2021:0216JUD001207412,"Abdulla Ali c  the United Kingdom, no 30971/12, §§ 40-41 and 96, 30 June 2015;Beggs v. the United Kingdom (dec.), no 15499/10, § 128, 16 October 2012;Beuze v. Belgium [GC], no 71409/10, § 198, 9 November 2018;Centre for Legal Resources of behalf of Valentin Câmpeanu v. Romania [GC], no 47848/08, § 156, ECHR 2014;Denisov v. Ukraine [GC], no 76639/11, § 139, 25 September 2018;Farhi v. France, no 17070/05, 16 January 2007;Gregory v. the United Kingdom, 25 February 1997, §§ 43-47, Reports of Judgments and Decisions 1997 I;Gutsanovi v. Bulgaria, no 34529/10, § 197, ECHR 2013 (extracts);Hanif and Khan v. the United Kingdom, nos. 52999/08 and 61779/08, §§ 138-143, 20 December 2011;Konstas v. Greece, no 53466/07, § 29, 24 May 2011;Kristiansen v. Norway, no 1176/10, § 47, 17 December 2015;Kyprianou v. Cyprus [GC], no 73797/01, § 119, ECHR 2005 XIII;Manole and Others v. Moldova, no 13936/02, §§ 104-106, ECHR 2009 (extracts);Maslarova v. Bulgaria, no 26966/10, § 31, 29 January 2019;Mityanin and Leonov v. Russia, nos. 11436/06 and 22912/06, § 102, 7 May 2019;Morice v. France [GC], no 29369/10, § 76, ECHR 2015;Papon v. France (no 2) (dec.), no 54210/00, ECHR 2001 XII (extracts);Paulikas v. Lithuania, no 57435/09, §§ 41 and 54-56, 24 January 2017;Pullar v. the United Kingdom, 10 June 1996, §§ 29 30, Reports 1996-III;Ratkin v. Russia [Committee], no 24625/05, § 37, 6 June 2017;Remli v. France, 23 April 1996, §§ 46-47, Reports 1996 II;Sander v. the United Kingdom, no 34129/96, §§ 22 and 25, ECHR 2000 V;Shcherbakov v. Russia [Committee], no 49506/12, § 23, 8 October 2019;Szypusz v. the United Kingdom, no 8400/07, § 85, 21 September 2010",,HEJUD,VASILYEV A.V.,TRUE,RUS,17,,,,CHAMBER,6;6-1;35;35-3-a;41,4.799493,
Violation of Article 5 - Right to liberty and security (Article 5-3 - Reasonableness of pre-trial detention);Violation of Article 18 - Limitation on use of restrictions on rights (Article 18 - Restrictions for unauthorised purposes) read in the light of Article 5 - (Art. 5) Right to liberty and security (Article 5-3 - Reasonableness of pre-trial detention);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,65583/13;70106/13,5;5-3;18,ENG,23,001-208326,1,18/02/2021 00:00:00,CASE OF AZIZOV AND NOVRUZLU v. AZERBAIJAN,ECLI:CE:ECHR:2021:0218JUD006558313,"Aliyev v. Azerbaijan, nos. 68762/14 and 71200/14, § 206, 20 September 2018;Allahverdiyev v. Azerbaijan, no. 49192/08, § 60, 6 March 2014;Buzadji v. the Republic of Moldova [GC], no. 23755/07, §§ 84-91, 5 July 2016;Farhad Aliyev v. Azerbaijan, no. 37138/06, §§ 191-94, 9 November 2010;Ibrahimov and Mammadov v. Azerbaijan, nos. 63571/16 and 5 others, §§ 151-58, 13 February 2020;Khadija Ismayilova v. Azerbaijan (no. 2), no. 30778/15, §§ 113-20, 27 February 2020;Korneykova v. Ukraine, no. 39884/05, § 46, 19 January 2012;Mahmut Öz v. Turkey, no. 6840/08, § 36, 3 July 2012;Mammadli v. Azerbaijan, no. 47145/14, § 102, 19 April 2018;Mammadov and Others v. Azerbaijan, no. 35432/07, § 99, 21 February 2019;Merabishvili v. Georgia [GC], no. 72508/13, §§ 287-354, 28 November 2017;Muradverdiyev v. Azerbaijan, no. 16966/06, §§ 87-91, 9 December 2010;Nart v. Turkey, no. 20817/04, § 33, 6 May 2008;Natig Jafarov v. Azerbaijan, no. 64581/16, §§ 64-70, 7 November 2019;Navalnyy v. Russia [GC], nos. 29580/12 and 4 Others, 15 November 2018;Rashad Hasanov and Others v. Azerbaijan, nos. 48653/13 and 3 others, 7 June 2018;Selahattin Demirtaş v. Turkey (no. 2) [GC], no. 14305/17, 22 December 2020;Zayidov v. Azerbaijan, no. 11948/08, §§ 64-68, 20 February 2014",,HEJUD,NAMAZLI F. ; KARIMLI N.,FALSE,AZE,17,Article 434.2 of the Code of Criminal Procedure,,,CHAMBER,5;5-3;18;41,4.799493,65583/13;70106/13;20589/13;19150/13;52022/13;44699/13;48653/13;57334/15;22334/16;37138/06;16966/06;49192/08;23755/07;11948/08;35432/07;20817/04;39884/05;6840/08;72508/13;29580/12;14305/17;68762/14;71200/14;47145/14;63571/16;64581/16;30778/15
No violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect),,,60324/15;60335/15,,ENG,23,001-208329,4,18/02/2021 00:00:00,CASE OF P.M. AND F.F. v. FRANCE,ECLI:CE:ECHR:2021:0218JUD006032415,,3,HEJUD,SPINOSI P. ,FALSE,FRA,,,,,CHAMBER,3,4.799493,
Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),,,60946/14,2;2-1,ENG,27,001-208330,4,16/02/2021 00:00:00,CASE OF KUZNETSOVA v. RUSSIA,ECLI:CE:ECHR:2021:0216JUD006094614,,,HEJUD,DOBRYDEN N.I. ,FALSE,RUS,,,,,COMMITTEE,2;2-1,4.799493,
Partly struck out of the list;Partly inadmissible,,,23872/19,,ENG,27,001-208343,4,,A.S. v. RUSSIA,ECLI:CE:ECHR:2021:0126DEC002387219,,,HEDEC,LEMZYAKOV I. F.,,RUS,,,,,ADMISSIBILITYCOM,6;6-1;8;35;37;37-1,4.799493,23872/19;76642/01
Inadmissible,,,2703/12,,ENG,23,001-208345,4,,GEORGIAN YOUNG LAWYERS' ASSOCIATION v. GEORGIA,ECLI:CE:ECHR:2021:0119DEC000270312,,,HEDEC,JOMARJIDZE N. ; KATSITADZE N. ,,GEO,,,,,ADMISSIBILITY,10;10-1;10-2;35,4.799493,2703/12;18030/11;76639/11;44920/09;8942/10;75865/11;10090/16;24973/15;16393/14;62746/00
Inadmissible,,,18865/11;51865/11,,ENG,23,001-208346,4,,MIKIASHVILI AND OTHERS v. GEORGIA,ECLI:CE:ECHR:2021:0119DEC001886511,,,HEDEC,ABAZADZE T.,,GEO,,,,,ADMISSIBILITY,10;10-1;10-2;35,4.799493,18865/11;51865/11;18030/11;37374/05;38433/09;76639/11;44920/09;8942/10;27329/06;75865/11;10090/16;16393/14;63898/09
Inadmissible,,,24233/09,,ENG,29,001-208347,4,,ZELYK v. UKRAINE,ECLI:CE:ECHR:2021:0128DEC002423309,,,HEDEC,SAPOZHNIKOVA O.,,UKR,,,,,ADMISSIBILITYCOM,6;6-1;35,4.799493,24233/09;55707/00;20261/12;49069/11
No violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Reasonable time),,,16031/18,,ENG,5,001-208363,4,09/03/2021 00:00:00,CASE OF AREWA v. LITHUANIA,ECLI:CE:ECHR:2021:0309JUD001603118,,6;6-1,HEJUD,RAKAUSKAS V.,FALSE,LTU,,,,,CHAMBER,6;6-1,4.799493,16031/18;10675/02;19348/04;53161/99;1828/06;48059/06;2708/09;34316/02;5826/03;36244/06;23012/02;39660/02;18393/09;28481/03;12301/12
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for private life),,,29255/18,8;8-1,ENG,27,001-208364,4,09/03/2021 00:00:00,CASE OF AKMALOV v. RUSSIA,ECLI:CE:ECHR:2021:0309JUD002925518,,,HEJUD,ZBOROSHENKO N.,FALSE,RUS,,,,,COMMITTEE,8;8-1,4.799493,29255/18;29790/14;36813/97;66580/12;66729/15
No violation of Article 2 - Right to life (Article 2-1 - Life) (Substantive aspect);Violation of Article 2 - Right to life (Article 2-1 - Effective investigation) (Procedural aspect),,,54931/18,2;2-1,ENG,27,001-208365,4,09/03/2021 00:00:00,CASE OF INDIRBAYEVA AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0309JUD005493118,,2;2-1,HEJUD,MATERI CHECHNI,FALSE,RUS,,,,,COMMITTEE,2;2-1,4.799493,54931/18;63638/09;42575/07;16064/90;58055/10;2546/08;15438/05;49379/09;33539/12;63689/13;24014/05;15086/07;18407/10;72508/13
